date,deaths
1849-01-01,13
1849-01-02,19
1849-01-03,28
1849-01-04,24
1849-01-05,23
1849-01-06,39
1849-01-07,25
1849-01-08,35
1849-01-09,26
1849-01-10,23
1849-01-11,22
1849-01-12,26
1849-01-13,21
1849-01-14,17
1849-01-15,17
1849-01-16,23
1849-01-17,14
1849-01-18,9
1849-01-19,16
1849-01-20,12
1849-01-21,19
1849-01-22,16
1849-01-23,36
1849-01-24,17
1849-01-25,17
1849-01-26,24
1849-01-27,19
1849-01-28,16
1849-01-29,20
1849-01-30,22
1849-01-31,20
1849-01-01,29
1849-01-02,17
1849-01-03,36
1849-01-04,21
1849-01-05,34
1849-01-06,23
1849-01-07,25
1849-01-08,36
1849-01-09,41
1849-01-10,25
1849-01-11,25
1849-01-12,21
1849-01-13,24
1849-01-14,21
1849-01-15,20
1849-01-16,34
1849-01-17,22
1849-01-18,31
1849-01-19,26
1849-01-20,27
1849-01-21,29
1849-01-22,29
1849-01-23,17
1849-01-24,28
1849-01-25,24
1849-01-26,23
1849-01-27,25
1849-01-28,22
1849-01-29,30
1849-01-30,18
1849-01-31,27
1849-02-01,20
1849-02-02,14
1849-02-03,16
1849-02-04,17
1849-02-05,12
1849-02-06,16
1849-02-07,20
1849-02-08,13
1849-02-09,16
1849-02-10,25
1849-02-11,11
1849-02-12,5
1849-02-13,20
1849-02-14,5
1849-02-15,13
1849-02-16,8
1849-02-17,13
1849-02-18,17
1849-02-19,8
1849-02-20,16
1849-02-21,8
1849-02-22,15
1849-02-23,11
1849-02-24,11
1849-02-25,12
1849-02-26,12
1849-02-27,9
1849-02-28,8
1849-02-01,24
1849-02-02,34
1849-02-03,25
1849-02-04,20
1849-02-05,36
1849-02-06,28
1849-02-07,21
1849-02-08,25
1849-02-09,30
1849-02-10,17
1849-02-11,33
1849-02-12,16
1849-02-13,36
1849-02-14,22
1849-02-15,18
1849-02-16,29
1849-02-17,20
1849-02-18,20
1849-02-19,28
1849-02-20,24
1849-02-21,21
1849-02-22,29
1849-02-23,23
1849-02-24,19
1849-02-25,24
1849-02-26,26
1849-02-27,24
1849-02-28,26
1849-03-01,10
1849-03-02,4
1849-03-03,8
1849-03-04,6
1849-03-05,7
1849-03-06,7
1849-03-07,8
1849-03-08,6
1849-03-09,5
1849-03-10,11
1849-03-11,28
1849-03-12,16
1849-03-13,14
1849-03-14,9
1849-03-15,9
1849-03-16,14
1849-03-17,11
1849-03-18,16
1849-03-19,13
1849-03-20,11
1849-03-21,9
1849-03-22,8
1849-03-23,6
1849-03-24,7
1849-03-25,10
1849-03-26,6
1849-03-27,8
1849-03-28,10
1849-03-29,8
1849-03-30,4
1849-03-31,13
1849-03-01,23
1849-03-02,25
1849-03-03,25
1849-03-04,21
1849-03-05,26
1849-03-06,13
1849-03-07,34
1849-03-08,19
1849-03-09,26
1849-03-10,21
1849-03-11,21
1849-03-12,23
1849-03-13,25
1849-03-14,19
1849-03-15,24
1849-03-16,30
1849-03-17,25
1849-03-18,21
1849-03-19,20
1849-03-20,21
1849-03-21,30
1849-03-22,15
1849-03-23,21
1849-03-24,21
1849-03-25,21
1849-03-26,29
1849-03-27,26
1849-03-28,25
1849-03-29,17
1849-03-30,19
1849-03-31,22
1849-04-01,3
1849-04-02,6
1849-04-03,4
1849-04-04,4
1849-04-05,4
1849-04-06,2
1849-04-07,7
1849-04-08,0
1849-04-09,8
1849-04-10,3
1849-04-11,2
1849-04-12,4
1849-04-13,3
1849-04-14,0
1849-04-15,5
1849-04-16,3
1849-04-17,9
1849-04-18,3
1849-04-19,4
1849-04-20,2
1849-04-21,4
1849-04-22,2
1849-04-23,2
1849-04-24,2
1849-04-25,2
1849-04-26,0
1849-04-27,5
1849-04-28,6
1849-04-29,3
1849-04-30,5
1849-04-01,16
1849-04-02,24
1849-04-03,16
1849-04-04,17
1849-04-05,21
1849-04-06,23
1849-04-07,20
1849-04-08,27
1849-04-09,23
1849-04-10,26
1849-04-11,17
1849-04-12,17
1849-04-13,21
1849-04-14,24
1849-04-15,26
1849-04-16,26
1849-04-17,25
1849-04-18,22
1849-04-19,29
1849-04-20,20
1849-04-21,17
1849-04-22,23
1849-04-23,24
1849-04-24,23
1849-04-25,23
1849-04-26,16
1849-04-27,24
1849-04-28,13
1849-04-29,35
1849-04-30,28
1849-05-01,4
1849-05-02,6
1849-05-03,3
1849-05-04,5
1849-05-05,7
1849-05-06,7
1849-05-07,8
1849-05-08,11
1849-05-09,6
1849-05-10,8
1849-05-11,7
1849-05-12,4
1849-05-13,7
1849-05-14,2
1849-05-15,8
1849-05-16,9
1849-05-17,8
1849-05-18,15
1849-05-19,13
1849-05-20,6
1849-05-21,11
1849-05-22,5
1849-05-23,8
1849-05-24,9
1849-05-25,13
1849-05-26,19
1849-05-27,23
1849-05-28,19
1849-05-29,22
1849-05-30,16
1849-05-31,38
1849-05-01,20
1849-05-02,27
1849-05-03,23
1849-05-04,26
1849-05-05,31
1849-05-06,21
1849-05-07,23
1849-05-08,19
1849-05-09,22
1849-05-10,25
1849-05-11,23
1849-05-12,22
1849-05-13,27
1849-05-14,27
1849-05-15,21
1849-05-16,29
1849-05-17,20
1849-05-18,18
1849-05-19,18
1849-05-20,27
1849-05-21,23
1849-05-22,24
1849-05-23,22
1849-05-24,20
1849-05-25,18
1849-05-26,23
1849-05-27,16
1849-05-28,28
1849-05-29,31
1849-05-30,26
1849-05-31,21
1849-06-01,30
1849-06-02,24
1849-06-03,38
1849-06-04,52
1849-06-05,50
1849-06-06,44
1849-06-07,87
1849-06-08,58
1849-06-09,75
1849-06-10,60
1849-06-11,77
1849-06-12,77
1849-06-13,84
1849-06-14,66
1849-06-15,59
1849-06-16,78
1849-06-17,60
1849-06-18,75
1849-06-19,77
1849-06-20,64
1849-06-21,58
1849-06-22,55
1849-06-23,64
1849-06-24,82
1849-06-25,76
1849-06-26,83
1849-06-27,84
1849-06-28,86
1849-06-29,124
1849-06-30,99
1849-06-01,21
1849-06-02,28
1849-06-03,23
1849-06-04,22
1849-06-05,22
1849-06-06,21
1849-06-07,21
1849-06-08,30
1849-06-09,31
1849-06-10,43
1849-06-11,23
1849-06-12,32
1849-06-13,33
1849-06-14,43
1849-06-15,33
1849-06-16,27
1849-06-17,32
1849-06-18,25
1849-06-19,35
1849-06-20,29
1849-06-21,27
1849-06-22,41
1849-06-23,36
1849-06-24,37
1849-06-25,26
1849-06-26,29
1849-06-27,36
1849-06-28,37
1849-06-29,44
1849-06-30,39
1849-07-01,96
1849-07-02,144
1849-07-03,103
1849-07-04,113
1849-07-05,95
1849-07-06,107
1849-07-07,130
1849-07-08,130
1849-07-09,166
1849-07-10,207
1849-07-11,192
1849-07-12,201
1849-07-13,210
1849-07-14,278
1849-07-15,281
1849-07-16,333
1849-07-17,288
1849-07-18,316
1849-07-19,322
1849-07-20,319
1849-07-21,348
1849-07-22,276
1849-07-23,271
1849-07-24,272
1849-07-25,340
1849-07-26,327
1849-07-27,327
1849-07-28,321
1849-07-29,306
1849-07-30,376
1849-07-31,375
1849-07-01,48
1849-07-02,43
1849-07-03,42
1849-07-04,32
1849-07-05,42
1849-07-06,41
1849-07-07,43
1849-07-08,63
1849-07-09,48
1849-07-10,43
1849-07-11,50
1849-07-12,48
1849-07-13,54
1849-07-14,57
1849-07-15,62
1849-07-16,71
1849-07-17,70
1849-07-18,100
1849-07-19,71
1849-07-20,85
1849-07-21,88
1849-07-22,94
1849-07-23,109
1849-07-24,89
1849-07-25,99
1849-07-26,85
1849-07-27,95
1849-07-28,94
1849-07-29,82
1849-07-30,81
1849-07-31,95
1849-08-01,376
1849-08-02,395
1849-08-03,306
1849-08-04,370
1849-08-05,367
1849-08-06,366
1849-08-07,300
1849-08-08,363
1849-08-09,337
1849-08-10,496
1849-08-11,570
1849-08-12,527
1849-08-13,647
1849-08-14,674
1849-08-15,604
1849-08-16,583
1849-08-17,515
1849-08-18,549
1849-08-19,520
1849-08-20,560
1849-08-21,518
1849-08-22,465
1849-08-23,549
1849-08-24,575
1849-08-25,664
1849-08-26,590
1849-08-27,579
1849-08-28,701
1849-08-29,623
1849-08-30,613
1849-08-31,570
1849-08-01,77
1849-08-02,92
1849-08-03,82
1849-08-04,98
1849-08-05,81
1849-08-06,96
1849-08-07,118
1849-08-08,100
1849-08-09,94
1849-08-10,97
1849-08-11,84
1849-08-12,107
1849-08-13,95
1849-08-14,134
1849-08-15,118
1849-08-16,137
1849-08-17,142
1849-08-18,129
1849-08-19,171
1849-08-20,148
1849-08-21,139
1849-08-22,118
1849-08-23,146
1849-08-24,114
1849-08-25,122
1849-08-26,117
1849-08-27,108
1849-08-28,124
1849-08-29,145
1849-08-30,138
1849-08-31,128
1849-09-01,739
1849-09-02,866
1849-09-03,888
1849-09-04,969
1849-09-05,1120
1849-09-06,1121
1849-09-07,1000
1849-09-08,992
1849-09-09,1058
1849-09-10,891
1849-09-11,792
1849-09-12,793
1849-09-13,876
1849-09-14,731
1849-09-15,717
1849-09-16,644
1849-09-17,615
1849-09-18,604
1849-09-19,554
1849-09-20,471
1849-09-21,399
1849-09-22,410
1849-09-23,405
1849-09-24,399
1849-09-25,425
1849-09-26,382
1849-09-27,399
1849-09-28,380
1849-09-29,359
1849-09-30,380
1849-09-01,148
1849-09-02,166
1849-09-03,151
1849-09-04,172
1849-09-05,166
1849-09-06,162
1849-09-07,145
1849-09-08,194
1849-09-09,192
1849-09-10,218
1849-09-11,197
1849-09-12,217
1849-09-13,191
1849-09-14,182
1849-09-15,207
1849-09-16,216
1849-09-17,165
1849-09-18,165
1849-09-19,160
1849-09-20,148
1849-09-21,155
1849-09-22,153
1849-09-23,136
1849-09-24,147
1849-09-25,151
1849-09-26,128
1849-09-27,128
1849-09-28,120
1849-09-29,108
1849-09-30,140
1849-10-01,380
1849-10-02,432
1849-10-03,377
1849-10-04,294
1849-10-05,281
1849-10-06,267
1849-10-07,263
1849-10-08,215
1849-10-09,195
1849-10-10,184
1849-10-11,159
1849-10-12,124
1849-10-13,120
1849-10-14,116
1849-10-15,82
1849-10-16,86
1849-10-17,70
1849-10-18,83
1849-10-19,58
1849-10-20,76
1849-10-21,70
1849-10-22,60
1849-10-23,92
1849-10-24,64
1849-10-25,80
1849-10-26,59
1849-10-27,91
1849-10-28,69
1849-10-29,70
1849-10-30,83
1849-10-31,54
1849-10-01,112
1849-10-02,114
1849-10-03,99
1849-10-04,121
1849-10-05,109
1849-10-06,113
1849-10-07,113
1849-10-08,93
1849-10-09,82
1849-10-10,98
1849-10-11,80
1849-10-12,79
1849-10-13,81
1849-10-14,71
1849-10-15,65
1849-10-16,66
1849-10-17,75
1849-10-18,62
1849-10-19,63
1849-10-20,47
1849-10-21,51
1849-10-22,50
1849-10-23,45
1849-10-24,54
1849-10-25,55
1849-10-26,44
1849-10-27,38
1849-10-28,46
1849-10-29,41
1849-10-30,46
1849-10-31,31
1849-11-01,48
1849-11-02,61
1849-11-03,49
1849-11-04,56
1849-11-05,46
1849-11-06,44
1849-11-07,47
1849-11-08,37
1849-11-09,30
1849-11-10,42
1849-11-11,37
1849-11-12,25
1849-11-13,29
1849-11-14,27
1849-11-15,22
1849-11-16,27
1849-11-17,29
1849-11-18,24
1849-11-19,17
1849-11-20,18
1849-11-21,13
1849-11-22,14
1849-11-23,16
1849-11-24,16
1849-11-25,17
1849-11-26,10
1849-11-27,14
1849-11-28,9
1849-11-29,9
1849-11-30,11
1849-11-01,36
1849-11-02,33
1849-11-03,35
1849-11-04,45
1849-11-05,47
1849-11-06,25
1849-11-07,33
1849-11-08,37
1849-11-09,33
1849-11-10,39
1849-11-11,25
1849-11-12,30
1849-11-13,25
1849-11-14,27
1849-11-15,28
1849-11-16,25
1849-11-17,30
1849-11-18,23
1849-11-19,26
1849-11-20,28
1849-11-21,31
1849-11-22,16
1849-11-23,19
1849-11-24,23
1849-11-25,16
1849-11-26,27
1849-11-27,26
1849-11-28,29
1849-11-29,28
1849-11-30,26
1849-12-01,6
1849-12-02,5
1849-12-03,10
1849-12-04,8
1849-12-05,7
1849-12-06,7
1849-12-07,6
1849-12-08,7
1849-12-09,7
1849-12-10,8
1849-12-11,6
1849-12-12,9
1849-12-13,4
1849-12-14,5
1849-12-15,2
1849-12-16,3
1849-12-17,8
1849-12-18,3
1849-12-19,4
1849-12-20,10
1849-12-21,3
1849-12-22,7
1849-12-23,6
1849-12-24,1
1849-12-25,6
1849-12-26,4
1849-12-27,2
1849-12-28,2
1849-12-29,4
1849-12-30,1
1849-12-31,2
1849-12-01,31
1849-12-02,22
1849-12-03,21
1849-12-04,19
1849-12-05,19
1849-12-06,23
1849-12-07,20
1849-12-08,19
1849-12-09,32
1849-12-10,20
1849-12-11,27
1849-12-12,18
1849-12-13,18
1849-12-14,12
1849-12-15,26
1849-12-16,27
1849-12-17,21
1849-12-18,25
1849-12-19,16
1849-12-20,19
1849-12-21,15
1849-12-22,21
1849-12-23,13
1849-12-24,15
1849-12-25,20
1849-12-26,14
1849-12-27,15
1849-12-28,18
1849-12-29,15
1849-12-30,9
1849-12-31,2
